你是誰,你到底是誰;你是什麼東西;這是什麼東西;自我介紹一下;可否自我介紹;請自我介紹;這是在幹麻
你幾歲,你今年幾歲;你多大;幾歲了;你現在幾歲;現在幾歲;現在多大;how old are you
你叫什麼名字,你的名字是;你的名字;請問你叫什麼名字;請問妳叫什麼名字;請問您的名字;請問妳的名字;妳叫什麼名字
你的性別,你是男的女的;你是男生還是女生;你的性別是;是男的還是女的;性別是什麼;男生還是女生
打招呼,你好;您好;你好嗎;Hello;hello;hihi;嗨;嗨嗨;哈嘍;你好嗎;你好媽;您好嗎?;您好
你會什麼,你會做什麼;你有什麼功能;會做哪些事情;你會做哪些事情;有哪些功能 
充實自己,如何充實自己;怎麼樣充實自己;如何學習;自我學習;
精實創業,如何精實創業;什麼是精實創業;精實創業是什麼
你很沒用,真沒用; 真是廢物; 都沒用啊; 根本沒幫助;你根本沒有幫助;
什麼是Scrum, 什麼是scrum; scrum是什麼;如何學Scrum;如何學習Scrum;學習Scrum
如何在英國開公司,怎樣才能在英國開公司;英國設立公司;設立公司在英國;設立英國股份有限公司
需要去英國才能開公司,在英國才能開公司;線上開英國公司;人不用到英國去開公司
幹你娘,幹你娘機;操他媽的;我操你媽;他馬的;他媽的逼;他媽的勒;你白痴啊;你去死吧;你他媽的;你他媽的去死吧;贛林老木;甘霖老杯;甘寧老師;妳很笨ㄟ;妳很機歪ㄟ;很機歪;很機歪ㄟ
他不愛我,他對我沒感覺;我覺得他不愛我;他愛我嗎
我心情不好,心情不太好;我心情不太好;我很不爽;覺得心情不太好;覺得很不爽;今天心情不好;我今天覺得很不爽
聯絡方式, 怎樣聯絡你;如何跟你取得聯絡;要怎麼聯絡你
需要去英國才能開公司,是不是要到英國才能開公司;人要不要到英國才能開公司
提高工作效率,如何提高工作效率;工作效率如何提升;如何提升工作效率;提高工作效率的方法;提高工作效率的方式;怎樣提高工作效率
心智圖,什麼是心智圖;心智圖是什麼;學習心智圖
充實自己的方法, 要怎麼充實自己;如何充實自己;怎樣才能充實自己;增加自己的內涵;如何增加自己的內涵
生涯規劃,要怎樣規劃職業生涯;職業生涯規劃;計劃自己的未來
自我學習,如何自我學習;怎樣自我學習;要如何自我學習;自我學習的方法;自我學習的方式
初創公司,要如何創業;如何避免創業失敗;怎樣創業才不會失敗
找不到方向,找不到方向怎麼辦;如何找到人生的方向
為自己工作,你到底是為誰工作;在大公司工作的目標
時間管理,如何進行時間管理;學習管理時間;學習時間管理
國際化專案,什麼是國際化專案;國際化專案是什麼
培育人才,如何培育人才
如何得知專案進度,怎樣才能知道專案進度;專案進度規劃;規劃專案進度;如何取得專案進度
學習專案管理,如何學習專案管理;專案管理的技巧
什麼是教學相長,何謂教學相長;怎樣才能教學相長
什麼是虛擬助理,虛擬助理是什麼;如何利用虛擬助理
什麼是跨國創業,跨國創業是什麼;為什麼要跨國創業
如何學習Scrum,怎樣學習Scrum;要如何學習Scrum;Scrum學習方式
確保創業成功,如何確保創業成功;創業不失敗的方法;創業如何不失敗;創業如何成功
什麼是人工智慧,何謂人工智慧;人工智慧是什麼;你是不是人工智慧
