問題 ,我只會回答寶可夢名稱
Bulbasaur,001 妙蛙種子 Bulbasaur
Ivysaur,002 妙蛙草 Ivysaur
Venusaur,003 妙蛙花 Venusaur
Charmander,004 小火龍 Charmander
Charmeleon,005 火恐龍 Charmeleon
Charizard,006 噴火龍 Charizard
Squirtle,007 傑尼龜 Squirtle
Wartortle,008 卡咪龜 Wartortle
Blastoise,009 水箭龜 Blastoise
Caterpie,010 綠毛蟲 Caterpie
Metapod,011 鐵甲蛹 Metapod
Butterfree,012 巴大蝶 Butterfree
Weedle,013 獨角蟲 Weedle
Kakuna,014 鐵殼蛹 Kakuna
Beedrill,015 大針蜂 Beedrill
Pidgey,016 波波 Pidgey
Pidgeotto,017 比比鳥 Pidgeotto
Pidgeot,018 大比鳥 Pidgeot
Rattata,019 小拉達 Rattata
Raticate,020 拉達 Raticate
Spearow,021 烈雀 Spearow
Fearow,022 大嘴雀 Fearow
Ekans,023 阿柏蛇 Ekans
Arbok,024 阿柏怪 Arbok
Pikachu,025 皮卡丘 Pikachu
Raichu,026 雷丘 Raichu
Sandshrew,027 穿山鼠 Sandshrew
Sandslash,028 穿山王 Sandslash
NidoranFemale,029 尼多蘭 NidoranFemale
Nidorina,030 尼多娜 Nidorina
Nidoqueen,031 尼多后 Nidoqueen
NidoranMale,032 尼多朗 NidoranMale
Nidorino,033 尼多力諾 Nidorino
Nidoking,034 尼多王 Nidoking
Clefairy,035 皮皮 Clefairy
Clefable,036 皮可西 Clefable
Vulpix,037 六尾 Vulpix
Ninetales,038 九尾 Ninetales
Jigglypuff,039 胖丁 Jigglypuff
Wigglytuff,040 胖可丁 Wigglytuff
Zubat,041 超音蝠 Zubat
Golbat,042 大嘴蝠 Golbat
Oddish,043 走路草 Oddish
Gloom,044 臭臭花 Gloom
Vileplume,045 霸王花 Vileplume
Paras,046 派拉斯 Paras
Parasect,047 派拉斯特 Parasect
Venonat,048 毛球 Venonat
Venomoth,049 摩魯蛾 Venomoth
Diglett,050 地鼠 Diglett
Dugtrio,051 三地鼠 Dugtrio
Meowth,052 喵喵 Meowth
Persian,053 貓老大 Persian
Psyduck,054 可達鴨 Psyduck
Golduck,055 哥達鴨 Golduck
Mankey,056 猴怪 Mankey
Primeape,057 火暴猴 Primeape
Growlithe,058 卡蒂狗 Growlithe
Arcanine,059 風速狗 Arcanine
Poliwag,060 蚊香蝌蚪 Poliwag
Poliwhirl,061 蚊香君 Poliwhirl
Poliwrath,062 蚊香泳士 Poliwrath
Abra,063 凱西 Abra
Kadabra,064 勇基拉 Kadabra
Alakazam,065 胡地 Alakazam
Machop,066 腕力 Machop
Machoke,067 豪力 Machoke
Machamp,068 怪力 Machamp
